NameCorp,Chapter,SICDivision,SICIndustryGroup,SICMajGroup,SICPrimary,Voluntary,YearFiled,Date10k1Before,Sales1Before,EbitBefore,EbitCurrDollars,EbitdaBefore,Assets1Before,Liab1Before
Arch Wireless Inc.,11,"E: Transportation, Communications, Electric, Gas",481,48 Communications,4812,involuntary,2001,2000-12-31,851.1,-239.712,-401.047364509583,-27.912,2309.6,2373.0
"Arm Financial Group, Inc.",11,"H: Finance, Insurance, And Real Estate",631,63 Insurance Carriers,6311,voluntary,1999,1998-12-31,126.964,66.142,116.64139734997,72.482,9786.264,9576.0
"Armstrong Energy, Inc.",11,B: Mining,122,12 Coal Mining,1221,voluntary,2017,2016-12-31,253.902,2.184,2.62783182321248,33.224,334.155,427.962
"Armstrong Flooring, Inc.",11,D: Manufacturing,308,30 Rubber and Miscellaneous Plastics Products,3089,voluntary,2022,2021-12-31,649.9,-80.7,-81.9426810493472,-37.4,517.0,317.8
"Armstrong World Industries, Inc.",11,D: Manufacturing,308,30 Rubber and Miscellaneous Plastics Products,3089,voluntary,2000,1999-12-31,3443.8,445.0,759.049798850575,614.2,4164.5,3473.5
"Ascena Retail Group, Inc.",11,G: Retail Trade,560,56 Apparel And Accessory Stores,5600,voluntary,2020,2019-08-03,5493.4,-125.4,-143.644153438235,183.0,2699.8,2548.8
"Assisted Living Concepts, Inc.",11,I: Services,805,80 Health Services,8050,voluntary,2001,2000-12-31,139.4,0.099,0.165351170512099,10.097,336.5,272.572
At Home Corp,11,I: Services,737,73 Business Services,7370,voluntary,2001,2000-12-31,616.4,-2638.439,-4391.92809805384,-2439.943,2106.7,1150.0
AT&T Latin America Corp.,11,"E: Transportation, Communications, Electric, Gas",481,48 Communications,4813,involuntary,2003,2002-12-31,165.593,-159.197,-257.06850929815,-47.797,534.455,999.248
ATA Holdings Corp.,11,"E: Transportation, Communications, Electric, Gas",452,45 Transportation By Air,4522,voluntary,2004,2003-12-31,1518.533,45.673,71.0089543268727,102.402,869.987,941.0
"Atlas Resource Partners, L.P.",11,B: Mining,138,13 Oil And Gas Extraction,1381,voluntary,2016,2015-12-31,740.033,-695.146,-857.4116368918,-537.168,1731.004,1815.632
ATP Oil & Gas Corporation,11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2012,2011-12-31,687.208,145.384,187.298039526172,466.274,3388.774,3106.565
Aurora Foods Inc.,11,D: Manufacturing,204,20 Food and Kindred Products,2040,voluntary,2003,2002-12-31,771.869,65.328,105.204310450353,105.543,1251.422,1211.0
"Aventine Renewable Energy Holdings, Inc.",11,D: Manufacturing,286,28 Chemicals and Allied Products,2860,voluntary,2009,2008-12-31,2248.301,-28.006,-38.9873207410882,-13.484,799.459,491.0
Baldwin-United Corporation,11,"H: Finance, Insurance, And Real Estate",671,67 Holding And Other Investment Offices,6712,involuntary,1983,1982-12-31,3598.01,203.329,599.279416216485,262.082,9382.685,8873.72
Bally Total Fitness Holding Corporation (2007),11,I: Services,799,79 Amusement And Recreation Services,7997,voluntary,2007,2006-12-31,1059.051,147.053,209.528992995679,201.262,396.771,1797.0
Bank Holdings,7,"H: Finance, Insurance, And Real Estate",602,60 Depository Institutions,6022,voluntary,2010,2009-12-31,28.703,-25.387,-34.3773146104326,-24.596,496.772,503.0
Barzel Industries Inc.,11,D: Manufacturing,331,33 Primary Metal Industries,3310,voluntary,2009,2008-11-29,801.058,0.854,1.17344739814815,21.998,476.94,432.0
"Basic Energy Services, Inc. (2016)",11,B: Mining,138,13 Oil And Gas Extraction,1389,voluntary,2016,2015-12-31,805.599,-217.686,-267.276792366659,23.919,1161.369,1055.031
"Basic Energy Services, Inc. (2021)",11,B: Mining,138,13 Oil And Gas Extraction,1389,voluntary,2021,2020-12-31,411.375,-73.458,-79.6957016964766,-18.997,349.073,529.705
Basix Corp.,11,"H: Finance, Insurance, And Real Estate",671,67 Holding And Other Investment Offices,6719,voluntary,1988,1987-12-31,101.666,6.923,17.7131519913793,26.971,172.605,184.215
"BearingPoint, Inc.",11,I: Services,874,"87 Engineering, Accounting, Research, Management, and Related Services",8742,voluntary,2009,2008-12-31,3197.041,-211.923,-296.409569420358,-148.451,1654.915,2201.146
Beker Industries Corp.,11,D: Manufacturing,287,28 Chemicals and Allied Products,2874,voluntary,1985,1984-12-31,264.125,4.15,11.3312562097516,17.435,341.087,225.465
Bethlehem Steel Corp,11,D: Manufacturing,331,33 Primary Metal Industries,3312,voluntary,2001,2000-12-31,4196.6,-95.5,-159.505422059651,164.8,5467.0,4347.0
"Big V Supermarkets, Inc.",11,G: Retail Trade,541,54 Food Stores,5411,voluntary,2000,1999-12-25,856.872,26.305,44.8434525272832,43.656,312.454,343.0
Birmingham Steel Corp.,11,D: Manufacturing,331,33 Primary Metal Industries,3312,voluntary,2002,2001-06-30,700.115,9.56,15.77198065592,51.722,647.5,654.0
Blockbuster Inc.,11,I: Services,784,78 Motion Pictures,7841,voluntary,2010,2010-01-03,1538.3,18.3,24.864539299301,682.2,1538.3,1853.0
"Bonanza Creek Energy, Inc.",11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2017,2016-12-31,195.295,-105.948,-129.489285312491,29.959,1134.478,1115.417
Borden Chemicals & Plastics LP (Borden Chemicals & Plastics Operating LP only),11,D: Manufacturing,282,28 Chemicals and Allied Products,2821,voluntary,2001,2000-12-31,491.1,-3.778,-6.33860410401357,32.572,388.837,370.105
"Borders Group, Inc.",11,G: Retail Trade,594,59 Miscellaneous Retail,5940,voluntary,2011,2011-01-29,2274.9,-286.2,-383.822173522089,-208.4,964.7,1118.4
"Boston Chicken, Inc.",11,G: Retail Trade,581,58 Eating and Drinking Places,5812,voluntary,1998,1997-12-28,462.368,108.574,196.490472426829,154.47,2005.1,948.862
"BPZ Resources, Inc.",11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2015,2014-12-31,83.897,0.325,0.408518691846061,23.546,291.36,257.962
Bradlees Inc. (2000),11,G: Retail Trade,531,53 General Merchandise Stores,5311,voluntary,2000,2000-01-29,1493.2,18.332,31.2694402528736,46.056,473.3,427.0
"Bradlees, Inc. (1995)",11,G: Retail Trade,531,53 General Merchandise Stores,5311,voluntary,1995,1995-01-28,1916.555,40.479,78.7806279540984,89.436,884.8,721.0
Braniff Inc. (1989),11,"E: Transportation, Communications, Electric, Gas",451,45 Transportation By Air,4512,voluntary,1989,1989-01-31,479.421,-35.06,-83.24562256,-12.863,237.547,226.866
Braniff International Corp. (1982),11,"E: Transportation, Communications, Electric, Gas",451,45 Transportation By Air,4512,voluntary,1982,1981-12-31,367.632,-94.8,-293.698910229645,-11.249,1008.297,1063.273
Breitburn Energy Partners LP,11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2016,2015-12-31,1108.715,-2270.435,-2805.06640203722,-1810.388,4872.412,3466.517
Bristow Group Inc.,11,"E: Transportation, Communications, Electric, Gas",452,45 Transportation By Air,4522,voluntary,2019,2019-03-31,1369.662,-52.823,-61.2190460108086,72.076,2652.599,1840.232
"Broadview Networks Holdings, Inc.",11,"E: Transportation, Communications, Electric, Gas",481,48 Communications,4813,voluntary,2012,2011-12-31,378.154,28.496,36.7113639350809,68.147,276.733,386.427
Brooke Corporation,11,"H: Finance, Insurance, And Real Estate",641,"64 Insurance Agents, Brokers, and Service",6411,voluntary,2008,2007-12-31,214.017,16.428,22.510531468144,20.964,422.377,306.0
Brunos Inc.,11,G: Retail Trade,541,54 Food Stores,5411,voluntary,1998,1998-01-31,2560.271,7.782,14.2660546880791,68.796,623.0,1108.0
Budget Group Inc.,11,I: Services,751,"75 Automotive Repair, Services, and Parking",7510,voluntary,2002,2001-12-31,2160.7,123.214,203.051335691283,712.693,4469.5,4408.0
"Buffets Holdings, Inc.",11,G: Retail Trade,581,58 Eating and Drinking Places,5812,voluntary,2008,2007-06-27,1387.489,40.606,57.0901893983894,81.442,952.299,1140.838
Builders Transport Inc.,11,"E: Transportation, Communications, Electric, Gas",421,42 Motor Freight Transportation And Warehousing,4213,voluntary,1998,1997-12-31,288.145,-13.329,-24.2997986056511,15.156,209.3,236.0
Building Materials Holding Corporation,11,G: Retail Trade,521,"52 Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",5211,voluntary,2009,2008-12-31,1324.679,-95.058,-130.797075688456,-57.447,539.715,495.0
"Burlington Industries, Inc.",11,D: Manufacturing,321,"32 Stone, Clay, Glass, And Concrete Products",3211,voluntary,2001,2001-09-29,1403.9,8.205,13.7272795095829,73.217,1185.0,1160.0
Buttes Gas & Oil Co.,11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,1985,1984-12-31,119.591,33.222,90.4604581100918,59.073,389.516,361.855
C&J Energy Services Ltd.,11,B: Mining,138,13 Oil And Gas Extraction,1389,voluntary,2016,2015-12-31,1748.889,-255.513,-315.156556431504,20.84,2232.906,1600.263
"Caesars Entertainment Operating Company, Inc.",11,I: Services,701,"70 Hotels, Rooming Houses, Camps, and Other Lodging Places",7011,involuntary,2015,2014-09-30,5215.1,668.8,849.344836055403,977.4,12350.1,19868.9
"CAI Wireless Systems, Inc.",11,"E: Transportation, Communications, Electric, Gas",484,48 Communications,4841,voluntary,1998,1998-03-31,28.622,-58.8,-106.934213235294,-32.0,351.5,379.0
Caldor Corporation,11,G: Retail Trade,531,53 General Merchandise Stores,5311,voluntary,1995,1995-01-28,2748.634,110.662,214.387399569191,159.14,1149.5,812.0
"California Coastal Communities, Inc.",11,C: Construction,153,15 Building Construction General Contractors And Operative Builders,1531,voluntary,2009,2008-12-31,46.0,-29.3,-40.2227201665125,-29.3,312.5,257.0
California Resources Corporation,11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2020,2019-12-31,2634.0,429.0,491.414209130802,900.0,6958.0,6452.0
Calpine Corp.,11,"E: Transportation, Communications, Electric, Gas",491,"49 Electric, Gas, And Sanitary Services",4911,voluntary,2005,2004-12-31,9229.888,72.941,110.003404354675,647.141,27216.088,22235.0
Calton Inc.,11,C: Construction,152,15 Building Construction General Contractors And Operative Builders,1521,voluntary,1993,1992-11-30,135.421,-18.352,-37.9304912534819,-15.652,196.986,197.438
Capitol Bancorp Ltd.,11,"H: Finance, Insurance, And Real Estate",602,60 Depository Institutions,6021,voluntary,2012,2011-12-31,145.536,-22.228,-28.6363067640714,-16.774,2205.265,2313.912
"Caraustar Industries, Inc.",11,D: Manufacturing,263,26 Paper and Allied Products,2631,voluntary,2009,2008-12-31,819.658,10.124,14.0475588031791,29.335,381.75,389.728
Cardis Corp.,11,F: Wholesale Trade,501,50 Wholesale Trade-durable Goods,5012,voluntary,1988,1988-04-30,180.999,-10.233,-25.8478612851064,-3.143,160.352,209.633
Care Enterprises Inc.,11,I: Services,805,80 Health Services,8051,voluntary,1988,1987-12-31,252.951,-11.206,-28.5485595021459,-1.371,215.465,246.989
CareMatrix Corp.,11,I: Services,805,80 Health Services,8050,voluntary,2000,1999-12-31,184.929131,0.013,0.0221617518667433,12.87,439.621,383.0
"Carmike Cinemas, Inc.",11,I: Services,783,78 Motion Pictures,7830,voluntary,2000,1999-12-31,486.9,46.85,80.4683995949074,87.996,807.5,603.0
Casual Male Corp.,11,G: Retail Trade,566,56 Apparel And Accessory Stores,5661,voluntary,2001,2001-02-03,471.8,26.143,43.664400512099,36.116,245.1,258.0
CBL & Associates Properties Inc. (CBL & Associates LP),11,"H: Finance, Insurance, And Real Estate",679,67 Holding And Other Investment Offices,6798,voluntary,2020,2019-12-31,768.696,-15.791,-18.0099889981516,241.955,4622.346,3758.321
"CEC Entertainment, Inc.",11,G: Retail Trade,581,58 Eating and Drinking Places,5812,voluntary,2020,2019-12-29,912.865,50.968,58.6785319301621,148.597,2119.549,1905.763
Centennial Group Inc.,11,"H: Finance, Insurance, And Real Estate",655,65 Real Estate,6552,voluntary,1991,1991-06-30,14.544,-24.349,-52.4054398332125,-23.784,220.1,105.0
Central European Distribution Corporation,11,F: Wholesale Trade,518,51 Wholesale Trade-non-durable Goods,5180,voluntary,2013,2012-12-31,1745.315,82.144,104.846634504647,102.521,1767.552,1935.018
CF & I Steel Corp.,11,D: Manufacturing,331,33 Primary Metal Industries,3312,voluntary,1990,1989-12-31,295.035858,-8.944,-19.8397037967115,1.976,258.706,203.098
"Champion Enterprises, Inc.",11,D: Manufacturing,245,"24 Lumber And Wood Products, Except Furniture",2451,voluntary,2009,2009-01-03,1033.193,-12.499,-17.1505580351364,9.979,645.009,558.0
"Chaparral Energy, Inc. (2016)",11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2016,2015-12-31,324.315,-1551.63,-1917.00056658438,-1335.056,1204.739,1825.096
"Chaparral Energy, Inc. (2020)",11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2020,2019-12-31,236.345,-402.163,-459.224724378458,-292.53,988.432,571.291
Chart Industries Inc.,11,D: Manufacturing,344,"34 Fabricated Metal Products, Except Machinery and Transportation Equipment",3443,voluntary,2003,2002-12-31,296.284,9.778,15.7807562044589,21.487,279.294,361.911
"Charter Communications, Inc.",11,"E: Transportation, Communications, Electric, Gas",484,48 Communications,4841,voluntary,2009,2008-12-31,6479.0,976.0,1361.88938410907,2286.0,13882.0,24185.0
Charter Company,11,D: Manufacturing,291,29 Petroleum Refining And Related Industries,2911,voluntary,1984,1983-12-31,3152.768,166.533,479.403441328807,201.224,1813.199,1199.072
Charter Medical Corp.,11,I: Services,806,80 Health Services,8063,voluntary,1992,1991-09-30,1188.313,150.46,318.516951640514,200.088,1347.109,2270.546
CHC Group Ltd.,11,"E: Transportation, Communications, Electric, Gas",452,45 Transportation By Air,4522,voluntary,2016,2016-04-30,1382.489,24.783,30.6187847886808,175.433,2140.425,2437.887
Chemtura Corporation,11,D: Manufacturing,282,28 Chemicals and Allied Products,2820,voluntary,2009,2008-12-31,3546.0,154.0,214.88828396803,348.0,3064.0,2589.0
Cherokee Inc. (1993),11,D: Manufacturing,233,23 Apparel And Other Finished Products Made From Fabrics And Similar Materi,2339,voluntary,1993,1992-05-30,194.944,15.797,32.5590431180556,20.791,214.198,213.08
Chesapeake Corporation,11,D: Manufacturing,265,26 Paper and Allied Products,2650,voluntary,2008,2007-12-30,1059.6,36.8,51.9606546146527,90.2,1213.7,932.0
Chesapeake Energy Corporation,11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2020,2019-12-31,8595.0,-31.0,-35.6897364980973,2265.0,16193.0,11792.0
"China Natural Gas, Inc.",11,"E: Transportation, Communications, Electric, Gas",492,"49 Electric, Gas, And Sanitary Services",4923,involuntary,2013,2012-12-31,145.281288,19.814,25.3298749946159,33.138,288.500809,84.25985
"Chiquita Brands International, Inc.",11,A: Agricultural Production Crops,100,01 Crops,100,voluntary,2001,2000-12-31,2253.77,27.366,45.7843669785795,118.302,1498.625,916.082
